,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_892,0.009743107,0.005089663,0.003754952,0,0.004588559,0,0,0.005460403,0.035789234,0,0,0,0.05664622,0.011425027,0.047092447,0.023701095,0.010337164,0.022134441
OTU_1284,0,0,0,0,0,0,0.0157197,0.014561075,0.0097607,0.020253165,0.024973076,0.011550393,0,0,0,0,0,0
OTU_869,0,0,0,0,0,0,0,0,0,0,0.001560817,0,0.003236927,0.001632147,0.008119387,0.005078806,0.001722861,0.005107948
OTU_766,0,0,0,0,0,0,0,0,0,0,0,0,0.016184634,0.006528587,0.001623877,0.013543483,0.084420171,0.15153579
OTU_785,0.004871553,0.042413857,0.011264856,0.006292969,0.010706638,0,0.041919201,0.005460403,0.003253567,0.011814346,0.034337979,0.028050954,0.017803098,0.00489644,0.004871632,0.028779901,0.010337164,0.001702649
OTU_849,0,0,0,0,0,0,0,0,0,0,0,0,0.022658488,0,0.00649551,0.001692935,0,0.001702649
OTU_895,0,0.006786217,0,0,0,0,0.001746633,0,0.008133917,0.005063291,0,0.001650056,0,0,0,0,0.003445721,0.005107948
OTU_773,0,0,0,0,0,0,0.001746633,0,0,0,0,0,0.001618463,0,0,0,0,0.001702649
OTU_1674,0,0,0,0,0.00152952,0,0.001746633,0,0,0,0,0.003300112,0.090633952,0.013057174,0.003247755,0,0.017228606,0.018729143
OTU_897,0,0,0,0,0,0,0,0,0,0,0,0,0.076067781,0.035907229,0.0649551,0.052480997,0.006891443,0.02553974
OTU_1097,0,0,0,0,0,0,0,0,0,0,0,0.001650056,0,0,0,0,0,0
OTU_768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198113054,0.047402191,0.001722861,0.010215896
OTU_824,0,0,0,0,0,0,0,0,0,0,0,0,0.053409293,0,0,0.06602448,0.089588753,0.056187428
OTU_896,0,0.001696554,0,0,0,0,0.013973067,0.005460403,0.006507133,0.008438819,0.046824517,0,0.038843122,0.047332256,0.01299102,0.054173932,0.012060024,0.008513247
OTU_864,0,0,0,0,0,0,0,0,0,0,0,0,0.093870879,0.066918017,0.011367142,0.032165772,0.034457213,0.018729143
OTU_1293,0,0,0,0,0,0,0,0,0,0,0,0,0.001618463,0.014689321,0.13640571,0.101576123,0,0.001702649
OTU_803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_878,0,0.02375176,0.001877476,0.014159181,0.004588559,0,0.013973067,0.069165104,0.0195214,0.038818565,0.020290624,0.039601346,0,0.006528587,0.004871632,0.003385871,0,0.001702649
OTU_1055,0,0,0,0,0,0,0.0052399,0.001820134,0,0.005063291,0.001560817,0.001650056,0,0,0,0,0,0
OTU_1080,0.008119256,0.006786217,0.011264856,0.009439454,0.007647599,0.003209294,0.0157197,0.01274094,0.022774967,0.023628692,0.065554324,0.044551515,0,0.011425027,0.001623877,0.001692935,0,0.006810597
OTU_1369,0,0,0,0,0,0,0,0,0,0,0,0,0.105200123,0.05549299,0.009743265,0.016929354,0.056854401,0.010215896
OTU_1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_993,0,0,0,0,0,0,0.001746633,0.001820134,0.006507133,0,0,0.003300112,0,0.00489644,0,0,0,0
OTU_1170,0,0,0,0,0,0,0.0261995,0.01274094,0.006507133,0.011814346,0.015608172,0.018150617,0,0,0,0,0,0
OTU_1212,0,0,0,0,0,0,0.017466334,0,0.003253567,0.01350211,0.012486538,0.019800673,0.017803098,0,0,0.011850548,0.020674328,0.010215896
OTU_808,0,0,0,0,0,0,0,0,0,0,0,0,0.001618463,0,0.003247755,0.077875028,0.020674328,0.153238439
OTU_899,0.001623851,0.010179326,0.005632428,0.001573242,0.032119914,0,0.003493267,0.049143627,0.043923151,0.016877637,0.004682452,0.044551515,0.017803098,0.00489644,0,0,0.003445721,0.010215896
